place_ID,place_name
Q1000123,Coonabarabran
Q1000133,Burra
Q1001056,Dalby
Q1001465,Smithton
Q1002118,Deniliquin
Q1002144,Southport
Q1002835,St Erth
Q1004555,Tavas
Q1006309,Ryde
Q1008383,Muswellbrook
Q1009253,Ipswich
Q1009509,Colac
Q1009515,Glen Innes
Q1009627,Inverell
Q1009636,Moora
Q1009694,Glassford
Q1009718,Queenstown
Q1010328,Kilsyth
Q1010396,Grantown-on-Spey
Q1010531,Forres
Q1010639,Mount Barker
Q1010837,Hay
Q1011095,New Cumnock
Q1011096,Deal
Q1011478,Darlinghurst
Q1012013,Lossiemouth
Q1012058,Williamstown
Q1012076,Richmond
Q1012502,Wick
Q1013550,Strathaven
Q1014561,Maryborough
Q1016277,Coonamble
Q1016823,Norseman
Q1018373,Derby
Q1018711,Pictou
Q1020266,Charters Towers
Q1020958,Ormskirk
Q1021880,Carnarvon
Q1022,Stuttgart
Q1024728,Wangaratta
Q1025587,Grafton
Q1025607,Tumut
Q1026207,Scone
Q1026699,Devizes
Q1026829,Redfern
Q1026964,Windsor
Q1026976,Sale
Q1027823,Paddington
Q1028160,Kingston SE
Q1028408,Camden
Q1049706,South Brisbane
Q10686,Belfast
Q10690,Cardiff
Q1072966,Chillagoe
Q1100620,Clermont
Q1109698,Collingwood
Q1114613,Woodville
Q1129726,Cooma
Q1136118,Torbay
Q1138239,Cowra
Q1138912,Battersea
Q1144196,Gwennap
Q1144877,Currie
Q11568,Darwin
Q11725,Chongqing
Q11739,Lahore
Q12010545,West Melbourne
Q12061437,Magill
Q121378,Corfu
Q121706,Tully
Q1229763,Stirlingshire
Q1231883,Walworth
Q1234797,Westbury
Q123709,Dundee
Q124184,Mayfair
Q124204,Bethnal Green
Q124394,Highbury
Q124539,Whitechapel
Q1247417,Peeblesshire
Q1247441,Nairnshire
Q12741759,Sutherland
Q1282606,Eday
Q130191,Norwich
Q130624,Harvey
Q130685,Collie
Q131491,Brighton
Q13157253,Durdidwarrah
Q133073,Dunedin
Q133315,Limerick
Q1343021,Nowra
Q1343166,Nambour
Q1348,Kolkata
Q13495,Trani
Q13496,Brindisi
Q1361,Hyderabad
Q1362879,Picton
Q13651238,Murrurundi
Q137271,Kota Kinabalu
Q1373371,Ballynure
Q1380121,Yass
Q1415174,Lyndoch
Q14206163,Bellingen
Q14206190,Belmont
Q1421389,Fitzroy
Q14217100,Griffith
Q1424946,Five Dock
Q1425428,Newcastle upon Tyne
Q1426910,Bridgewater
Q1434796,Tamworth
Q1444175,Tumbarumba
Q1460,Sicily
Q146690,Brixton
Q1471471,Preston
Q148349,Lambeth
Q14934761,Bective
Q14934848,Jesmond
Q14934920,Mount Riverview
Q14935166,Inglewood
Q14935255,Newtown
Q14935409,Einasleigh
Q14935416,Finch Hatton
Q14935808,Highgate
Q14966,Port Pirie
Q1498015,Somerset
Q149830,Cricklewood
Q1501581,Markethill
Q151831,Eupen
Q1526531,Gippsland
Q1535327,Mosman
Q1538454,Gort
Q1543632,Taree
Q1544752,Greenock
Q1554825,Gunnedah
Q1562649,Kimba
Q1589649,Toowong
Q160493,Inverness
Q1619596,Kempsey
Q1629019,Horsham
Q163,Yorkshire
Q163584,Derry
Q1641083,Murray Bridge
Q1657718,Myrtleford
Q166002,Upper Hutt
Q1665325,West Tamar Council
Q16666,Nanjing
Q1670056,Quirindi
Q168843,Sāri
Q16903608,Wolfram
Q17003331,Dugandan
Q1702713,Lurgan
Q170287,Subotica
Q170497,Gloucester
Q1721825,Longreach
Q1733565,Prahran
Q1740762,Kiama
Q1741,Vienna
Q174261,Walhalla
Q174262,Saint Peter Port
Q1748747,Bridgetown
Q175262,Burnie
Q1761,Dublin
Q1769479,North Ryde
Q1774403,Camborne
Q1781,Budapest
Q1783750,Koo Wee Rup
Q17856,Ballarat
Q178626,County Mayo
Q1789805,Lithgow
Q1789818,Penguin
Q1793195,Kurri Kurri
Q1794,Frankfurt
Q17980,Katherine
Q17986171,Burraga
Q180858,Junee
Q180918,Paphos
Q18125,Manchester
Q1814336,Strathmerton
Q181766,Narrabri
Q1821710,Blayney
Q1822074,Lowood
Q182984,Kano
Q183408,Biloela
Q184618,County Tipperary
Q1853588,Yallourn
Q185404,Bundaberg
Q1857589,Burslem
Q1862563,Silverdale
Q187313,Stanley
Q1876313,Korumburra
Q187859,Moree
Q187861,Wollongong
Q1883669,Maffra
Q1890499,Manjimup
Q189133,Cairns
Q1892442,Marburg
Q1894520,Mareeba
Q189960,Westminster
Q190021,Townsville
Q190138,Lefkada
Q190684,County Down
Q192240,Northampton
Q1931613,Kyneton
Q193250,Bulawayo
Q1935843,Milton
Q1939928,Mittagong
Q1943376,Mole Creek
Q1944959,Valley Falls
Q1952683,Cuckfield
Q1984513,Goodmanham
Q19871553,Bream Creek
Q19873783,Gogango
Q2015708,Cheetham Hill
Q201812,Huddersfield
Q2021276,Maclean
Q2027077,Yarloop
Q2028572,Orbost
Q2046587,Pakenham
Q204860,Wegberg
Q2057625,Eltham
Q2063327,Roma
Q2063589,Stratton St Margaret
Q2065416,St Pancras
Q2081184,Stogursey
Q2081683,Donnybrook
Q2082525,Maitland
Q2083195,Millicent
Q2086426,Balaklava
Q2087380,Northfleet
Q209176,Ely
Q21,England
Q2104626,Wauchope
Q2107368,Forbes
Q210985,Chelmsford
Q2118067,Warwick
Q212289,Palmerston North
Q212984,New Plymouth
Q21319,Parramatta
Q2135,Winnipeg
Q215361,Cavan
Q2160329,Beverley
Q216372,Gateshead
Q2169513,Ulverstone
Q217039,Rotherham
Q217831,Greenock
Q21912964,Elliott
Q21913460,Currabubula
Q2192709,Newtownards
Q22,Scotland
Q2213391,Croydon
Q2218166,Narrandera
Q2226004,Wartling
Q2236090,Bankstown
Q2240072,Johnstone
Q2249626,Terowie
Q2249694,Bedlington
Q225103,Garran
Q2255269,Crystal Brook
Q2256,Birmingham
Q2262320,Kaniva
Q2272457,Home Hill
Q2272537,Abertillery
Q2279903,Leichhardt
Q2283203,Dr. Ambedkar Nagar
Q2286606,Silverton
Q2288705,Warracknabeal
Q22889,Bath
Q22890,Ireland
Q22905,Bradford
Q2296779,Glebe
Q23051,Swansea
Q2305836,Swan Hill
Q23090,Lincolnshire
Q23105,Staffordshire
Q2312709,Millthorpe
Q23154,Bristol
Q23165,Gloucestershire
Q231765,Geelong
Q23204,Hampshire
Q23220,Berkshire
Q23276,Surrey
Q23298,Kent
Q233,Malta
Q23346,Sussex
Q2336057,Gulgong
Q2340517,Violet Town
Q23436,Edinburgh
Q2348677,Bowral
Q23661,Wellington
Q23768,Las Vegas
Q23807879,Nantawarra
Q2393202,Tanunda
Q240092,Merredin
Q24089961,Alma
Q24090126,Gough Whitlam's birthplace
Q2416373,Thebarton
Q2422416,Lockhart
Q2443083,Toorak
Q24639,Vancouver
Q2469022,Condobolin
Q2469027,Holmfirth
Q24826,Liverpool
Q249022,Traralgon
Q25,Wales
Q2508511,Winchelsea
Q2547533,Rosslea
Q2560226,Wadhurst
Q2563357,Werribee
Q2566830,Milltown
Q256711,Bunbury
Q2568966,Laidley
Q2588513,Norton Summit
Q26,Northern Ireland
Q260317,Castlemaine
Q260941,Weston Creek
Q2613443,Durrington
Q2635933,Mangotsfield
Q2643563,Alexandra
Q2663753,Nhill
Q26713,Ba
Q268059,Stanthorpe
Q2694498,Harrietville
Q269980,Newry
Q270734,Broken Hill
Q2728668,Gulargambone
Q27325688,Skearke
Q2733575,Gundagai
Q2740519,Smeaton
Q2740588,Kyabram
Q2745801,Kandos
Q2750312,Beechworth
Q27575848,Lowther
Q27577019,Goomburra
Q27626763,Broadmarsh
Q2773,Brunswick
Q279000,South Shields
Q28103503,German Creek
Q28194168,Telangatuk East
Q2821571,Aberdeen
Q2877892,Babinda
Q2879005,Bagdad
Q2881464,Balmain
Q2886632,Rotherhithe
Q2905620,Blackwood
Q2915428,Annandale
Q2915698,Surry Hills
Q2915990,Ultimo
Q2916104,Pyrmont
Q2916106,Kensington
Q2916395,Chippendale
Q2918297,Woollahra
Q2918794,Elizabeth Bay
Q2918802,Camperdown
Q2919710,Darlington
Q2925842,Broadford
Q2935500,Camperdown
Q2961059,Charlton
Q2963588,Childers
Q2963640,Chiltern
Q2975529,Clare
Q2975767,Matraville
Q2976045,Botany
Q2979102,Clifton
Q2982734,Collarenebri
Q3035979,Donald
Q3041302,Dunedoo
Q3049454,Allora
Q3104313,Gerringong
Q3107752,Gisborne
Q3108740,Glenelg
Q3114,Canberra
Q3120835,Gundaroo
Q3127368,Harden
Q3130,Sydney
Q31397243,Gresford
Q3141,Melbourne
Q3183,Perth
Q3191785,Kadina
Q3197128,Kingston
Q3206,Western Australia
Q321381,Abingdon-on-Thames
Q3224,New South Wales
Q3227602,Liverpool
Q327348,Mount Gambier
Q3276625,North Sydney
Q3281764,Maldon
Q3281866,Maleny
Q3285768,Mangoplah
Q329503,Kalgoorlie
Q3305212,Young
Q3309297,Cranbourne
Q331764,Albury
Q3326036,Mount Morgan
Q334,Singapore
Q3341906,Nimmitabel
Q3348059,Oberon
Q3379736,Trawalla
Q339527,Launceston
Q33986,Valparaíso
Q3410,Hertfordshire
Q3422682,Red Cliffs
Q3425090,Yackandandah
Q3433521,Riverton
Q3437510,Kingswood
Q3437662,Rochester
Q34647,Johannesburg
Q34664,Hiroshima
Q34932,Brisbane
Q3496549,Hurstville
Q350,Cambridge
Q35001,Lismore
Q3500595,Stroud
Q3515745,Tarlee
Q3528066,Tiaro
Q3528414,Tilba
Q3531970,Toodyay
Q3565483,Wallaroo
Q3566378,Warren
Q3567822,Whitton
Q3571892,Yarrawonga
Q36074,Queensland
Q36405,Aberdeen
Q3644691,Brighton
Q36687,Victoria
Q36704,Yugoslavia
Q3679103,Claremont
Q368304,Manilla
Q37100,Auckland
Q3717659,East Fremantle
Q3723370,Elizabeth
Q37320,Cleveland
Q3740854,Everton
Q3764261,Gilberton
Q3772642,Gnowangerup
Q3773429,Goomalling
Q377975,Maryborough
Q3785320,Wolferlow
Q3806782,Jamestown
Q3814382,Kellerberrin
Q3829397,Leederville
Q385060,Camberwell
Q385155,Penrith
Q385907,Campbells Creek
Q385934,Westbury
Q38825,Montgomeryshire
Q3908652,Port Adelaide
Q3945542,Salisbury
Q3965520,South Melbourne
Q3976501,Subiaco
Q4005998,Unley
Q40191,Hobart
Q408536,Airdrie
Q4093,Glasgow
Q4131,Hamilton
Q420303,Montrose
Q42322463,Nile
Q42462,York
Q427374,St George
Q42898333,Clear Lake
Q43375881,Castra
Q43382,Plymouth
Q437,Ljubljana
Q4378854,Carey Gully
Q459600,Wagga Wagga
Q459768,Kenmore
Q459900,Port Fairy
Q4601403,Stanmore
Q4640202,Lostock Gralam
Q4681743,Adelaide Lead
Q47002,Carlton
Q4712260,Alberton
Q4712262,Alberton
Q4713821,Aldinga
Q4746003,Amherst
Q478147,Northam
Q478302,Toowoomba
Q4794512,Arncliffe
Q4804757,Ashcroft
Q4851462,Ballarat East
Q4852375,Balmoral
Q4853301,Bamawm
Q4858151,Baradine
Q4861090,Barkly
Q4884453,Belmore
Q4894752,Berry
Q489948,Patti
Q4903676,Bickley
Q492231,Naracoorte
Q4930845,Blyth
Q4943362,Booleroo Centre
Q4950729,Bowden
Q4951523,Box Hill
Q4957725,Branxholme
Q497793,Bendigo
Q4984998,Buderim
Q4996408,Bulimba
Q4996904,Bulli
Q5021396,Calista
Q5022197,Callington
Q5028192,Campbellfield
Q5039632,Caringbah
Q5042941,Carlton
Q5043042,Carlton North
Q5054509,Caulfield
Q5087800,Chatswood
Q5090176,Cheltenham
Q509716,Manly
Q5112,Adelaide
Q5133240,Clifton Hill
Q5150359,Colyton
Q516122,St Marys
Q5169438,Coraki
Q518689,Mount Pleasant
Q5189247,Crowlands
Q5261403,Derby
Q5282204,Dishergarh
Q5292120,Don
Q530296,Lanarkshire
Q530643,Angaston
Q5309255,Drummoyne
Q5326560,Earlwood
Q5327944,East Brisbane
Q5328922,East Maitland
Q5328965,East Melbourne
Q5337932,Edgeworth
Q5367746,Elsternwick
Q5377277,Enfield
Q5383865,Epping
Q5397972,Esk
Q54212,Barnsley
Q5430228,Fairfield
Q54636,Platì
Q5465,Cape Town
Q5466574,Footscray
Q5468,Durban
Q5491176,Franklin
Q550606,Wigtownshire
Q5516754,Gaffneys Creek
Q5524534,Garvoc
Q5532007,General Lying-In Hospital
Q5575646,Gocup
Q5584124,Gooseberry Hill
Q5596852,Granville
Q5615787,Guildford
Q5618116,Gumeracha
Q5644763,Hamilton
Q5644794,Hamilton
Q5653118,Happy Valley
Q5666483,Harrow
Q5685475,Hawthorn
Q57278,Newcastle
Q576377,Port Broughton
Q5766124,Hindmarsh
Q580,Łódź
Q580973,Orange
Q581029,Meekatharra
Q581659,Macksville
Q5874777,Hobart
Q587996,Cowes
Q59819,Mudgee
Q604283,Coffs Harbour
Q605113,Gosford
Q605235,Goulburn
Q605267,Geraldton
Q605513,Parkes
Q60555164,Killurin
Q605944,Yea
Q605972,Kingaroy
Q606153,Port Macquarie
Q606162,Rockhampton
Q606169,Armidale
Q606212,Fremantle
Q606268,Port Lincoln
Q606288,Port Augusta
Q606294,Broome
Q606307,Wodonga
Q606335,Mount Isa
Q606344,Tweed Heads
Q606357,Cessnock
Q606385,Queanbeyan
Q606900,Maitland
Q6127792,Jamberoo
Q6160942,Jarrahdale
Q62,San Francisco
Q621540,Appleby-in-Westmorland
Q6225,Coventry
Q623687,Falkirk
Q626295,Ararat
Q6270744,Pennant Hills
Q6272440,St Leonards
Q6272504,Woolwich
Q630336,Deloraine
Q633811,Pézenas
Q63761,Gladstone
Q6386669,Kelvin Grove
Q6395265,Keswick
Q6406020,Kihikihi
Q6406679,Kilcoy
Q642631,Busselton
Q6432497,Koroit
Q643750,Wiluna
Q645439,Loxton
Q646980,Aldershot
Q647356,Coburg
Q6481586,Lambton
Q649838,Aston
Q6510011,Learmonth
Q6517662,Legana
Q652101,Wicklow
Q6537979,Leyburn
Q6554885,Linton
Q6559021,Lismore
Q664060,Cloncurry
Q6665087,Lochee
Q6681321,Lorn
Q6723005,Macdonaldtown
Q672948,Leven
Q6736262,Maindample
Q6745046,Malvern
Q676441,Armadale
Q6787277,Mathinna
Q6804798,Meckering
Q680984,Bellshill
Q6811747,Melbourne
Q6836647,Michelago
Q6841607,Middle Swan
Q686,Vanuatu
Q6867874,Minlaton
Q6881033,Mitcham
Q6881034,Mitcham
Q6881097,Mitchell
Q6887880,Moculta
Q6890652,Mogo
Q6908458,Mooroopna
Q6913331,Morpeth
Q691685,Kirkcaldy
Q6919889,Mount Bryan
Q6921698,Mount Kokeby
Q6921777,Mount Lawley
Q6922714,Mount Perry
Q6927678,Moyhu
Q6939645,Murrumburrah
Q704257,Albany
Q704371,Mackay
Q704978,Bathurst
Q7053663,North Adelaide
Q7056074,North Melbourne
Q7056320,North Perth
Q705699,Gladstone
Q705705,Devonport
Q7057754,Northcote
Q705829,Mildura
Q705867,Warrnambool
Q706105,Dubbo
Q707030,Shepparton
Q7073771,Oakbank
Q7073851,Oakey
Q7111326,Ouse
Q7140469,Partick
Q7161215,Pelaw Main
Q7199097,Pitt Town
Q721784,Bordertown
Q72216,Kew
Q7230552,Clinton
Q723315,Kilmun
Q723342,Ascot Vale
Q724182,St Ives
Q7263249,Pyramid Hill
Q728065,Northampton
Q7284123,Railton
Q7284555,Rainbow
Q732519,St Kew
Q733414,Elbeuf
Q736785,Morpeth
Q7367886,Rose Park
Q7368751,Rosewater
Q739912,Dunolly
Q7417154,Sandy Bay
Q743940,Lewisham
Q744726,Abernethy
Q744821,Lobethal
Q746623,Renmark
Q746718,Birkenhead
Q747599,Covington
Q749,Groningen
Q749665,Nyeri County
Q753512,Eurobodalla Shire
Q7553567,Sofala
Q755507,Atherton
Q7568224,South Pine River
Q7580566,Spring Hill
Q7580824,Springburn
Q7581218,Springvale
Q7593530,"St John's, Woking"
Q7611044,Stepney
Q7622017,Strathalbyn
Q762430,Hamilton
Q7646816,Surrey Hills
Q7683821,Tantanoola
Q7796458,Thornleigh
Q7824058,Toolamba
Q7851242,Tudhoe
Q7878285,Ukerebagh Island
Q7897035,Unley Park
Q791235,Avoca
Q793283,Ayrshire
Q7960016,Waikerie
Q7963243,Wallsend
Q7967255,Wandiligong
Q7968806,Waratah
Q7974524,Watervale
Q7983051,Wentworthville
Q79848,Southampton
Q7986202,West Perth
Q7994799,White Hills
Q7998371,Wickham
Q79990,Christchurch
Q8022730,Wilmington
Q8025212,Wingham
Q8026964,Wirrabara
Q8034014,Woonona
Q803960,Bairnsdale
Q8046464,Yacka
Q805263,Ballina
Q808105,Barfold
Q809009,Barry
Q823531,St Kilda
Q823600,Chesterfield
Q828526,Murwillumbah
Q84,London
Q854,Sri Lanka
Q8564806,Forth
Q863749,Bingara
Q8646,Hong Kong
Q864668,Caithness
Q8686,Shanghai
Q87,Alexandria
Q8738,Meissen
Q890557,Boggabri
Q895407,Bowen
Q909858,Randwick
Q915776,Brighton
Q916063,Wynyard
Q918787,Cramlington
Q935702,Oban
Q9383359,Yanyarrie
Q9384205,Jeparit
Q938581,Flinders Island
Q941931,Longford
Q942084,Harrington
Q942732,Warragul
Q953871,Opotiki
Q954956,Wau
Q955941,Mona Vale
Q956807,Leeton
Q964970,Adelong
Q965020,Petersham
Q967166,Hythe
Q967804,Feakle
Q9681,Hertford
Q974074,Whakatane
Q976153,Ingham
Q983647,Southern Cross
Q984138,Quorn
Q984146,Katanning
Q984379,Summerland
Q985161,Leonora
Q985273,Chinchilla
Q985428,Yarram
Q985485,Epping
Q985751,Quilpie
Q985768,Norwood
Q986063,Mount Magnet
Q986654,Swansea
Q989616,Hove
Q990236,Warialda
Q990481,Guyra
Q992412,Creswick
Q993309,Latrobe
Q994000,York
Q995005,Narrogin
Q996516,Crosshouse
Q999473,Temora
