name,page,electorate
Mr Stephen (Steve) Andrew,/members/current/list/MemberDetails?ID=1217785207,Mirani
Hon Mark Bailey,/members/current/list/MemberDetails?ID=93042746,Miller
Ms Rosslyn (Ros) Bates,/members/current/list/MemberDetails?ID=2319326882,Mudgeeraba
Mr David Batt,/members/current/list/MemberDetails?ID=1138671533,Bundaberg
Mr Stephen Bennett,/members/current/list/MemberDetails?ID=2300871827,Burnett
Mr Michael Berkman,/members/current/list/MemberDetails?ID=2155251911,Maiwar
Mr Jarrod Bleijie,/members/current/list/MemberDetails?ID=2703195545,Kawana
Ms Sandra (Sandy) Bolton,/members/current/list/MemberDetails?ID=332322051,Noosa
Mr Mark Boothman,/members/current/list/MemberDetails?ID=1164255125,Theodore
Mr Colin Boyce,/members/current/list/MemberDetails?ID=819683359,Callide
Ms Nikki Boyd,/members/current/list/MemberDetails?ID=3280563879,Pine Rivers
Mr Donald (Don) Brown,/members/current/list/MemberDetails?ID=2877371171,Capalaba
Hon Glenn Butcher,/members/current/list/MemberDetails?ID=915661556,Gladstone
Mr Jason Costigan,/members/current/list/MemberDetails?ID=3824095407,Whitsunday
Mr Michael Crandon,/members/current/list/MemberDetails?ID=259257624,Coomera
Hon Craig Crawford,/members/current/list/MemberDetails?ID=890183913,Barron River
Mr David Crisafulli,/members/current/list/MemberDetails?ID=1630339737,Broadwater
Hon Yvette D'Ath,/members/current/list/MemberDetails?ID=292739608,Redcliffe
Mr Nicholas (Nick) Dametto,/members/current/list/MemberDetails?ID=3295683648,Hinchinbrook
Hon Cameron Dick,/members/current/list/MemberDetails?ID=2735111125,Woodridge
Hon Michael (Mick) de Brenni,/members/current/list/MemberDetails?ID=3608468635,Springwood
Hon Leeanne Enoch,/members/current/list/MemberDetails?ID=3451737636,Algester
Hon Dianne (Di) Farmer,/members/current/list/MemberDetails?ID=3172667384,Bulimba
Hon Shannon Fentiman,/members/current/list/MemberDetails?ID=2169129767,Waterford
Mrs Deborah (Deb) Frecklington,/members/current/list/MemberDetails?ID=3817157555,Nanango
Hon Mark Furner,/members/current/list/MemberDetails?ID=3394533373,Ferny Grove
Mrs Laura Gerber,/members/current/list/MemberDetails?ID=1256874142,Currumbin
Mrs Julieanne Gilbert,/members/current/list/MemberDetails?ID=343413384,Mackay
Hon Grace Grace,/members/current/list/MemberDetails?ID=4169613409,McConnel
Mr Aaron Harper,/members/current/list/MemberDetails?ID=1311447998,Thuringowa
Mr Michael Hart,/members/current/list/MemberDetails?ID=3589307611,Burleigh
Mr Michael Healy,/members/current/list/MemberDetails?ID=566313827,Cairns
Hon Stirling Hinchliffe,/members/current/list/MemberDetails?ID=1236262867,Sandgate
Ms Jennifer Howard,/members/current/list/MemberDetails?ID=3895516698,Ipswich
Mr Martin (Marty) Hunt,/members/current/list/MemberDetails?ID=1226169161,Nicklin
Mr David Janetzki,/members/current/list/MemberDetails?ID=1452802487,Toowoomba South
Hon Kate Jones,/members/current/list/MemberDetails?ID=4209461404,Cooper
Mr Robert (Robbie) Katter,/members/current/list/MemberDetails?ID=3968359730,Traeger
Mr Joseph (Joe) Kelly,/members/current/list/MemberDetails?ID=1230118149,Greenslopes
Mr Shane King,/members/current/list/MemberDetails?ID=3441651661,Kurwongbah
Mr Shane Knuth,/members/current/list/MemberDetails?ID=3780599856,Hill
Mr Jon Krause,/members/current/list/MemberDetails?ID=1642712805,Scenic Rim
Mr John-Paul Langbroek,/members/current/list/MemberDetails?ID=3319466242,Surfers Paradise
Mr Dale Last,/members/current/list/MemberDetails?ID=3933801190,Burdekin
Ms Brittany Lauga,/members/current/list/MemberDetails?ID=1140473162,Keppel
Ms Ann Leahy,/members/current/list/MemberDetails?ID=40491599,Warrego
Ms Leanne Linard,/members/current/list/MemberDetails?ID=2681648574,Nudgee
Mr James Lister,/members/current/list/MemberDetails?ID=2975500316,Southern Downs
Ms Cynthia Lui,/members/current/list/MemberDetails?ID=84787299,Cook
Hon Dr Anthony Lynham,/members/current/list/MemberDetails?ID=1637065151,Stafford
Mr James (Jim) Madden,/members/current/list/MemberDetails?ID=405444814,Ipswich West
Mr Timothy (Tim) Mander,/members/current/list/MemberDetails?ID=3098878649,Everton
Mr Mark McArdle,/members/current/list/MemberDetails?ID=3185374871,Caloundra
Mr Lance McCallum,/members/current/list/MemberDetails?ID=3921191401,Bundamba
Mr James (Jim) McDonald,/members/current/list/MemberDetails?ID=551359571,Lockyer
Mrs Melissa McMahon,/members/current/list/MemberDetails?ID=1749439388,Macalister
Ms Corrine McMillan,/members/current/list/MemberDetails?ID=1649329815,Mansfield
Mr Bart Mellish,/members/current/list/MemberDetails?ID=895860336,Aspley
Mr Brent Mickelberg,/members/current/list/MemberDetails?ID=3779160121,Buderim
Hon Dr Steven Miles,/members/current/list/MemberDetails?ID=9522482,Murrumba
Mr Lachlan Millar,/members/current/list/MemberDetails?ID=3942844115,Gregory
Mr Steven (Steve) Minnikin,/members/current/list/MemberDetails?ID=3592056585,Chatsworth
Mr Robert (Rob) Molhoek,/members/current/list/MemberDetails?ID=3291126039,Southport
Mrs Charis Mullen,/members/current/list/MemberDetails?ID=2781841870,Jordan
Mr Timothy (Tim) Nicholls,/members/current/list/MemberDetails?ID=407905322,Clayfield
Mr Samuel (Sam) O'Connor,/members/current/list/MemberDetails?ID=2704686237,Bonney
Mr Barry O'Rourke,/members/current/list/MemberDetails?ID=1115979287,Rockhampton
Hon Coralee O'Rourke,/members/current/list/MemberDetails?ID=2540388086,Mundingburra
Hon Annastacia Palaszczuk,/members/current/list/MemberDetails?ID=2980517905,Inala
Ms Joan Pease,/members/current/list/MemberDetails?ID=3080924249,Lytton
Mr Duncan Pegg,/members/current/list/MemberDetails?ID=425411558,Stretton
Mr Anthony (Tony) Perrett,/members/current/list/MemberDetails?ID=1171511689,Gympie
Hon Curtis Pitt,/members/current/list/MemberDetails?ID=780236409,Mulgrave
Mr Andrew Powell,/members/current/list/MemberDetails?ID=194565277,Glass House
Mr Linus Power,/members/current/list/MemberDetails?ID=752580610,Logan
Ms Jessica (Jess) Pugh,/members/current/list/MemberDetails?ID=977021911,Mount Ommaney
Mr Daniel (Dan) Purdie,/members/current/list/MemberDetails?ID=3778366749,Ninderry
Ms Kim Richards,/members/current/list/MemberDetails?ID=2685143056,Redlands
Dr Mark Robinson,/members/current/list/MemberDetails?ID=2889146732,Oodgeroo
Dr Christian Rowan,/members/current/list/MemberDetails?ID=1956503169,Moggill
Mr Peter Russo,/members/current/list/MemberDetails?ID=2411213250,Toohey
Hon Mark Ryan,/members/current/list/MemberDetails?ID=714866259,Morayfield
Mr Bruce Saunders,/members/current/list/MemberDetails?ID=1753153258,Maryborough
Ms Meaghan Scanlon,/members/current/list/MemberDetails?ID=4264547649,Gaven
Ms Fiona Simpson,/members/current/list/MemberDetails?ID=270271732,Maroochydore
Mr Edward (Ted) Sorensen,/members/current/list/MemberDetails?ID=1339591927,Hervey Bay
Mr Raymond (Ray) Stevens,/members/current/list/MemberDetails?ID=38139274,Mermaid Beach
Mr Scott Stewart,/members/current/list/MemberDetails?ID=1560887617,Townsville
Ms Jacklyn (Jackie) Trad,/members/current/list/MemberDetails?ID=2909040466,South Brisbane
Mr Trevor Watts,/members/current/list/MemberDetails?ID=1634313414,Toowoomba North
Mr Patrick (Pat) Weir,/members/current/list/MemberDetails?ID=4154112788,Condamine
Mr Christopher (Chris) Whiting,/members/current/list/MemberDetails?ID=2917049458,Bancroft
Mrs Simone Wilson,/members/current/list/MemberDetails?ID=812306558,Pumicestone
